number 228 length of nuber runs 34
number 229 length of nuber runs 34
number 230 length of nuber runs 34
number 231 length of nuber runs 127
number 232 length of nuber runs 21
number 233 length of nuber runs 83
number 234 length of nuber runs 21
number 235 length of nuber runs 127
number 236 length of nuber runs 34
number 237 length of nuber runs 34
number 238 length of nuber runs 34
number 239 length of nuber runs 52
number 240 length of nuber runs 21
number 241 length of nuber runs 21
number 242 length of nuber runs 96
number 243 length of nuber runs 96
number 244 length of nuber runs 21
number 245 length of nuber runs 21
number 246 length of nuber runs 47
number 247 length of nuber runs 47
number 248 length of nuber runs 109
number 249 length of nuber runs 47
number 250 length of nuber runs 109
number 251 length of nuber runs 65
number 252 length of nuber runs 109
number 253 length of nuber runs 109
number 254 length of nuber runs 47
number 255 length of nuber runs 47
number 256 length of nuber runs 8
number 257 length of nuber runs 122
number 258 length of nuber runs 122
number 259 length of nuber runs 122
number 260 length of nuber runs 29
number 261 length of nuber runs 29
number 262 length of nuber runs 29
number 263 length of nuber runs 78
number 264 length of nuber runs 29
number 265 length of nuber runs 122
number 266 length of nuber runs 29
number 267 length of nuber runs 21
number 268 length of nuber runs 29
number 269 length of nuber runs 29
number 270 length of nuber runs 42
number 271 length of nuber runs 42
number 272 length of nuber runs 16
number 273 length of nuber runs 29
number 274 length of nuber runs 91
number 275 length of nuber runs 91
number 276 length of nuber runs 16
number 277 length of nuber runs 16
number 278 length of nuber runs 42
number 279 length of nuber runs 42
number 280 length of nuber runs 16
number 281 length of nuber runs 42
number 282 length of nuber runs 16
number 283 length of nuber runs 60
number 284 length of nuber runs 104
number 285 length of nuber runs 104
number 286 length of nuber runs 104
number 287 length of nuber runs 42
number 288 length of nuber runs 24
number 289 length of nuber runs 29
number 290 length of nuber runs 117
number 291 length of nuber runs 117
number 292 length of nuber runs 117
number 293 length of nuber runs 117
number 294 length of nuber runs 117
number 295 length of nuber runs 55
number 296 length of nuber runs 24
number 297 length of nuber runs 73
number 298 length of nuber runs 24
number 299 length of nuber runs 117
number 300 length of nuber runs 16
number 301 length of nuber runs 16
number 302 length of nuber runs 16
number 303 length of nuber runs 42
number 304 length of nuber runs 24
number 305 length of nuber runs 37
number 306 length of nuber runs 37
number 307 length of nuber runs 37
number 308 length of nuber runs 24
number 309 length of nuber runs 24
number 310 length of nuber runs 86
number 311 length of nuber runs 86
number 312 length of nuber runs 37
number 313 length of nuber runs 130
number 314 length of nuber runs 37
number 315 length of nuber runs 37
number 316 length of nuber runs 37
number 317 length of nuber runs 37
number 318 length of nuber runs 55
number 319 length of nuber runs 55
number 320 length of nuber runs 11
number 321 length of nuber runs 24
number 322 length of nuber runs 99
number 323 length of nuber runs 99
number 324 length of nuber runs 24
number 325 length of nuber runs 24
number 326 length of nuber runs 24
number 327 length of nuber runs 143
number 328 length of nuber runs 112
number 329 length of nuber runs 50
number 330 length of nuber runs 112
number 331 length of nuber runs 24
number 332 length of nuber runs 112
number 333 length of nuber runs 112
number 334 length of nuber runs 68
number 335 length of nuber runs 68
number 336 length of nuber runs 11
number 337 length of nuber runs 112
number 338 length of nuber runs 50
number 339 length of nuber runs 50
number 340 length of nuber runs 11
number 341 length of nuber runs 11
number 342 length of nuber runs 125
number 343 length of nuber runs 125
number 344 length of nuber runs 32
number 345 length of nuber runs 125
number 346 length of nuber runs 32
number 347 length of nuber runs 125
number 348 length of nuber runs 32
number 349 length of nuber runs 32
number 350 length of nuber runs 81
number 351 length of nuber runs 81
number 352 length of nuber runs 19
number 353 length of nuber runs 125
number 354 length of nuber runs 32
number 355 length of nuber runs 32
number 356 length of nuber runs 32
number 357 length of nuber runs 32
number 358 length of nuber runs 32
number 359 length of nuber runs 50
number 360 length of nuber runs 19
number 361 length of nuber runs 45
number 362 length of nuber runs 19
number 363 length of nuber runs 45
number 364 length of nuber runs 94
number 365 length of nuber runs 94
number 366 length of nuber runs 94
number 367 length of nuber runs 45
number 368 length of nuber runs 19
number 369 length of nuber runs 19
number 370 length of nuber runs 45
number 371 length of nuber runs 45
number 372 length of nuber runs 19
number 373 length of nuber runs 19
number 374 length of nuber runs 45
number 375 length of nuber runs 45
number 376 length of nuber runs 107
number 377 length of nuber runs 63
number 378 length of nuber runs 107
number 379 length of nuber runs 58
number 380 length of nuber runs 107
number 381 length of nuber runs 107
number 382 length of nuber runs 45
number 383 length of nuber runs 45
number 384 length of nuber runs 14
number 385 length of nuber runs 32
number 386 length of nuber runs 120
number 387 length of nuber runs 120
number 388 length of nuber runs 120
number 389 length of nuber runs 120
number 390 length of nuber runs 120
number 391 length of nuber runs 120
number 392 length of nuber runs 27
number 393 length of nuber runs 58
number 394 length of nuber runs 27
number 395 length of nuber runs 76
number 396 length of nuber runs 27
number 397 length of nuber runs 27
number 398 length of nuber runs 120
number 399 length of nuber runs 120
number 400 length of nuber runs 27
number 401 length of nuber runs 19
number 402 length of nuber runs 19
number 403 length of nuber runs 19
number 404 length of nuber runs 27
number 405 length of nuber runs 27
number 406 length of nuber runs 40
number 407 length of nuber runs 40
number 408 length of nuber runs 27
number 409 length of nuber runs 40
number 410 length of nuber runs 27
number 411 length of nuber runs 133
number 412 length of nuber runs 89
number 413 length of nuber runs 89
number 414 length of nuber runs 89
number 415 length of nuber runs 133
number 416 length of nuber runs 14
number 417 length of nuber runs 133
number 418 length of nuber runs 40
number 419 length of nuber runs 40
number 420 length of nuber runs 40
number 421 length of nuber runs 40
number 422 length of nuber runs 40
number 423 length of nuber runs 32
number 424 length of nuber runs 14
number 425 length of nuber runs 58
number 426 length of nuber runs 14
number 427 length of nuber runs 53
number 428 length of nuber runs 102
number 429 length of nuber runs 102
number 430 length of nuber runs 102
number 431 length of nuber runs 40
number 432 length of nuber runs 115
number 433 length of nuber runs 27
number 434 length of nuber runs 27
number 435 length of nuber runs 27
number 436 length of nuber runs 115
number 437 length of nuber runs 115
number 438 length of nuber runs 53
number 439 length of nuber runs 53
number 440 length of nuber runs 115
number 441 length of nuber runs 27
number 442 length of nuber runs 115
number 443 length of nuber runs 53
number 444 length of nuber runs 71
number 445 length of nuber runs 71
number 446 length of nuber runs 71
number 447 length of nuber runs 97
number 448 length of nuber runs 22
number 449 length of nuber runs 115
number 450 length of nuber runs 53
number 451 length of nuber runs 53
number 452 length of nuber runs 14
number 453 length of nuber runs 14
number 454 length of nuber runs 14
number 455 length of nuber runs 40
number 456 length of nuber runs 35
number 457 length of nuber runs 128
number 458 length of nuber runs 35
number 459 length of nuber runs 128
number 460 length of nuber runs 35
number 461 length of nuber runs 35
number 462 length of nuber runs 128
number 463 length of nuber runs 128
number 464 length of nuber runs 22
number 465 length of nuber runs 35
number 466 length of nuber runs 84
number 467 length of nuber runs 84
number 468 length of nuber runs 22
number 469 length of nuber runs 22
number 470 length of nuber runs 128
number 471 length of nuber runs 128
number 472 length of nuber runs 35
number 473 length of nuber runs 35
number 474 length of nuber runs 35
number 475 length of nuber runs 27
number 476 length of nuber runs 35
number 477 length of nuber runs 35
number 478 length of nuber runs 53
number 479 length of nuber runs 53
number 480 length of nuber runs 22
number 481 length of nuber runs 48
number 482 length of nuber runs 22
number 483 length of nuber runs 22
number 484 length of nuber runs 97
number 485 length of nuber runs 97
number 486 length of nuber runs 97
number 487 length of nuber runs 141
number 488 length of nuber runs 22
number 489 length of nuber runs 48
number 490 length of nuber runs 22
number 491 length of nuber runs 141
number 492 length of nuber runs 48
number 493 length of nuber runs 48
number 494 length of nuber runs 48
number 495 length of nuber runs 97
number 496 length of nuber runs 110
number 497 length of nuber runs 22
number 498 length of nuber runs 48
number 499 length of nuber runs 48
number 500 length of nuber runs 110
number 501 length of nuber runs 110
number 502 length of nuber runs 66
number 503 length of nuber runs 66
number 504 length of nuber runs 110
number 505 length of nuber runs 61
number 506 length of nuber runs 110
number 507 length of nuber runs 35
number 508 length of nuber runs 48
number 509 length of nuber runs 48
number 510 length of nuber runs 48
number 511 length of nuber runs 61
number 512 length of nuber runs 9
number 513 length of nuber runs 35
number 514 length of nuber runs 123
number 515 length of nuber runs 123
number 516 length of nuber runs 123
number 517 length of nuber runs 123
number 518 length of nuber runs 123
number 519 length of nuber runs 61
number 520 length of nuber runs 30
number 521 length of nuber runs 123
number 522 length of nuber runs 30
number 523 length of nuber runs 123
number 524 length of nuber runs 30
number 525 length of nuber runs 30
number 526 length of nuber runs 79
number 527 length of nuber runs 79
number 528 length of nuber runs 30
number 529 length of nuber runs 30
number 530 length of nuber runs 123
number 531 length of nuber runs 123
number 532 length of nuber runs 30
number 533 length of nuber runs 30
number 534 length of nuber runs 22
number 535 length of nuber runs 22
number 536 length of nuber runs 30
number 537 length of nuber runs 22
number 538 length of nuber runs 30
number 539 length of nuber runs 48
number 540 length of nuber runs 43
number 541 length of nuber runs 43
number 542 length of nuber runs 43
number 543 length of nuber runs 136
number 544 length of nuber runs 17
number 545 length of nuber runs 43
number 546 length of nuber runs 30
number 547 length of nuber runs 30
number 548 length of nuber runs 92
number 549 length of nuber runs 92
number 550 length of nuber runs 92
number 551 length of nuber runs 43
number 552 length of nuber runs 17
number 553 length of nuber runs 136
number 554 length of nuber runs 17
number 555 length of nuber runs 30
number 556 length of nuber runs 43
number 557 length of nuber runs 43
number 558 length of nuber runs 43
number 559 length of nuber runs 87
number 560 length of nuber runs 17
number 561 length of nuber runs 43
number 562 length of nuber runs 43
number 563 length of nuber runs 43
number 564 length of nuber runs 17
number 565 length of nuber runs 17
number 566 length of nuber runs 61
number 567 length of nuber runs 61
number 568 length of nuber runs 105
number 569 length of nuber runs 56
number 570 length of nuber runs 105
number 571 length of nuber runs 30
number 572 length of nuber runs 105
number 573 length of nuber runs 105
number 574 length of nuber runs 43
number 575 length of nuber runs 43
number 576 length of nuber runs 25
number 577 length of nuber runs 30
number 578 length of nuber runs 30
number 579 length of nuber runs 30
number 580 length of nuber runs 118
number 581 length of nuber runs 118
number 582 length of nuber runs 118
number 583 length of nuber runs 30
number 584 length of nuber runs 118
number 585 length of nuber runs 56
number 586 length of nuber runs 118
number 587 length of nuber runs 118
number 588 length of nuber runs 118
number 589 length of nuber runs 118
number 590 length of nuber runs 56
number 591 length of nuber runs 56
number 592 length of nuber runs 25
number 593 length of nuber runs 74
number 594 length of nuber runs 74
number 595 length of nuber runs 74
number 596 length of nuber runs 25
number 597 length of nuber runs 25
number 598 length of nuber runs 118
number 599 length of nuber runs 118
number 600 length of nuber runs 17
number 601 length of nuber runs 56
number 602 length of nuber runs 17
number 603 length of nuber runs 69
number 604 length of nuber runs 17
number 605 length of nuber runs 17
number 606 length of nuber runs 43
number 607 length of nuber runs 43
number 608 length of nuber runs 25
number 609 length of nuber runs 131
number 610 length of nuber runs 38
number 611 length of nuber runs 38
number 612 length of nuber runs 38
